date,year,month,decimal_year,toa_net_flux_w_m2,EEI
2023-11-01,2023,11,2023.875000,4.490000,1.391389
2023-12-01,2023,12,2023.958333,6.770000,1.398611
2024-01-01,2024,1,2024.041667,8.000000,1.355833
2024-02-01,2024,2,2024.125000,8.740000,1.376667
2024-03-01,2024,3,2024.208333,6.710000,1.380000
2024-04-01,2024,4,2024.291667,2.280000,1.383333
2024-05-01,2024,5,2024.375000,-5.890000,1.370556
2024-06-01,2024,6,2024.458333,-8.870000,1.370556
2024-07-01,2024,7,2024.541667,-8.770000,1.379444
2024-08-01,2024,8,2024.625000,-4.570000,1.385556
2024-09-01,2024,9,2024.708333,-0.360000,1.139143
2024-10-01,2024,10,2024.791667,2.450000,0.928529
2024-11-01,2024,11,2024.875000,4.210000,0.838182
2024-12-01,2024,12,2024.958333,5.890000,0.967813
2025-01-01,2025,1,2025.041667,9.710000,1.255484
2025-02-01,2025,2,2025.125000,9.000000,1.563667
2025-03-01,2025,3,2025.208333,7.360000,1.757931
2025-04-01,2025,4,2025.291667,1.980000,1.816071
2025-05-01,2025,5,2025.375000,-5.020000,1.800741
2025-06-01,2025,6,2025.458333,-8.930000,1.697308
2025-07-01,2025,7,2025.541667,-7.910000,1.494400
2025-08-01,2025,8,2025.625000,-3.740000,1.223333
2025-09-01,2025,9,2025.708333,0.360000,0.896522
2025-10-01,2025,10,2025.791667,2.280000,0.632273
2025-11-01,2025,11,2025.875000,4.660000,0.553810
2025-12-01,2025,12,2025.958333,8.010000,0.876000
2026-01-01,2026,1,2026.041667,9.780000,1.388947
