date,year,month,toa_net_flux_w_m2,decimal_year,running_12month_avg
2009-09-01,2009,9,-1.39,2009.7083333333333,0.805625
2009-10-01,2009,10,1.54,2009.7916666666667,0.8066666666666666
2009-11-01,2009,11,2.93,2009.875,0.7933333333333333
2009-12-01,2009,12,6.26,2009.9583333333333,0.7779166666666666
2010-01-01,2010,1,6.66,2010.0416666666667,0.7295833333333334
2010-02-01,2010,2,8.08,2010.125,0.7064583333333333
2010-03-01,2010,3,5.63,2010.2083333333333,0.6862499999999999
2010-04-01,2010,4,2.08,2010.2916666666667,0.6795833333333333
2010-05-01,2010,5,-5.95,2010.375,0.6437499999999999
2010-06-01,2010,6,-9.73,2010.4583333333333,0.6327083333333333
2010-07-01,2010,7,-9.35,2010.5416666666667,0.6322916666666666
2010-08-01,2010,8,-6.05,2010.625,0.6272916666666666
2010-09-01,2010,9,-0.95,2010.7083333333333,0.6177083333333333
2010-10-01,2010,10,1.51,2010.7916666666667,0.62375
2010-11-01,2010,11,2.65,2010.875,0.5885416666666666
2010-12-01,2010,12,5.66,2010.9583333333333,0.5795833333333333
2011-01-01,2011,1,8.58,2011.0416666666667,0.6141666666666666
2011-02-01,2011,2,8.49,2011.125,0.6129166666666667
2011-03-01,2011,3,6.86,2011.2083333333333,0.6333333333333333
2011-04-01,2011,4,2.4,2011.2916666666667,0.6435416666666667
2011-05-01,2011,5,-4.27,2011.375,0.6716666666666667
2011-06-01,2011,6,-9.49,2011.4583333333333,0.6552083333333333
2011-07-01,2011,7,-8.98,2011.5416666666667,0.6527083333333333
2011-08-01,2011,8,-5.38,2011.625,0.6595833333333333
2011-09-01,2011,9,-1.36,2011.7083333333333,0.6679166666666667
2011-10-01,2011,10,3.09,2011.7916666666667,0.698125
2011-11-01,2011,11,3.98,2011.875,0.7172916666666667
2011-12-01,2011,12,4.8,2011.9583333333333,0.711875
2012-01-01,2012,1,8.74,2012.0416666666667,0.7156249999999998
2012-02-01,2012,2,10.67,2012.125,0.7627083333333333
2012-03-01,2012,3,6.7,2012.2083333333333,0.7447916666666666
2012-04-01,2012,4,2.57,2012.2916666666667,0.7610416666666667
2012-05-01,2012,5,-4.2,2012.375,0.7602083333333333
2012-06-01,2012,6,-8.74,2012.4583333333333,0.7579166666666666
2012-07-01,2012,7,-8.2,2012.5416666666667,0.7556250000000001
2012-08-01,2012,8,-4.53,2012.625,0.741875
2012-09-01,2012,9,-0.66,2012.7083333333333,0.7429166666666666
2012-10-01,2012,10,2.62,2012.7916666666667,0.7420833333333334
2012-11-01,2012,11,4.57,2012.875,0.7639583333333334
2012-12-01,2012,12,7.06,2012.9583333333333,0.758125
2013-01-01,2013,1,6.78,2013.0416666666667,0.7185416666666667
2013-02-01,2013,2,8.48,2013.125,0.7016666666666667
2013-03-01,2013,3,7.34,2013.2083333333333,0.6997916666666667
2013-04-01,2013,4,1.3,2013.2916666666667,0.6875
2013-05-01,2013,5,-4.8,2013.375,0.6791666666666667
2013-06-01,2013,6,-9.6,2013.4583333333333,0.6360416666666667
2013-07-01,2013,7,-8.36,2013.5416666666667,0.6458333333333334
2013-08-01,2013,8,-4.94,2013.625,0.6479166666666668
2013-09-01,2013,9,-0.79,2013.7083333333333,0.6604166666666668
2013-10-01,2013,10,1.56,2013.7916666666667,0.6608333333333334
2013-11-01,2013,11,3.88,2013.875,0.680625
2013-12-01,2013,12,6.2,2013.9583333333333,0.679375
2014-01-01,2014,1,7.85,2014.0416666666667,0.7041666666666667
2014-02-01,2014,2,8.45,2014.125,0.711875
2014-03-01,2014,3,7.05,2014.2083333333333,0.7414583333333334
2014-04-01,2014,4,2.4,2014.2916666666667,0.748125
2014-05-01,2014,5,-4.3,2014.375,0.7825000000000001
2014-06-01,2014,6,-9.57,2014.4583333333333,0.7858333333333335
2014-07-01,2014,7,-9.38,2014.5416666666667,0.7852083333333334
2014-08-01,2014,8,-4.21,2014.625,0.8235416666666667
2014-09-01,2014,9,-0.18,2014.7083333333333,0.8395833333333332
2014-10-01,2014,10,2.23,2014.7916666666667,0.8545833333333334
2014-11-01,2014,11,4.1,2014.875,0.8847916666666666
2014-12-01,2014,12,5.85,2014.9583333333333,0.88875
2015-01-01,2015,1,7.41,2015.0416666666667,0.864375
2015-02-01,2015,2,9.21,2015.125,0.879375
2015-03-01,2015,3,7.1,2015.2083333333333,0.884375
2015-04-01,2015,4,2.32,2015.2916666666667,0.8827083333333333
2015-05-01,2015,5,-4.3,2015.375,0.8820833333333334
2015-06-01,2015,6,-8.9,2015.4583333333333,0.894375
2015-07-01,2015,7,-8.05,2015.5416666666667,0.91375
2015-08-01,2015,8,-4.21,2015.625,0.938125
2015-09-01,2015,9,0.21,2015.7083333333333,0.9708333333333333
2015-10-01,2015,10,2.29,2015.7916666666667,0.9541666666666666
2015-11-01,2015,11,3.9,2015.875,0.9525000000000001
2015-12-01,2015,12,6.12,2015.9583333333333,0.98
2016-01-01,2016,1,8.0,2016.0416666666667,0.9645833333333335
2016-02-01,2016,2,7.31,2016.125,0.8945833333333334
2016-03-01,2016,3,6.32,2016.2083333333333,0.8866666666666667
