date,year41,month,decimal_year,toa_net_flux_w_m2,EEI
2011-10-01,2011,10,2011.791667,3.090000,0.660417
2011-11-01,2011,11,2011.875000,3.980000,0.660833
2011-12-01,2011,12,2011.958333,4.800000,0.680625
2012-01-01,2012,1,2012.041667,8.740000,0.679375
2012-02-01,2012,2,2012.125000,10.670000,0.704167
2012-03-01,2012,3,2012.208333,6.700000,0.711875
2012-04-01,2012,4,2012.291667,2.570000,0.741458
2012-05-01,2012,5,2012.375000,-4.200000,0.748125
2012-06-01,2012,6,2012.458333,-8.740000,0.782500
2012-07-01,2012,7,2012.541667,-8.200000,0.785833
2012-08-01,2012,8,2012.625000,-4.530000,0.785208
2012-09-01,2012,9,2012.708333,-0.660000,0.823542
2012-10-01,2012,10,2012.791667,2.620000,0.839583
2012-11-01,2012,11,2012.875000,4.570000,0.854583
2012-12-01,2012,12,2012.958333,7.060000,0.884792
2013-01-01,2013,1,2013.041667,6.780000,0.888750
2013-02-01,2013,2,2013.125000,8.480000,0.864375
2013-03-01,2013,3,2013.208333,7.340000,0.879375
2013-04-01,2013,4,2013.291667,1.300000,0.884375
2013-05-01,2013,5,2013.375000,-4.800000,0.882708
2013-06-01,2013,6,2013.458333,-9.600000,0.882083
2013-07-01,2013,7,2013.541667,-8.360000,0.894375
2013-08-01,2013,8,2013.625000,-4.940000,0.913750
2013-09-01,2013,9,2013.708333,-0.790000,0.938125
2013-10-01,2013,10,2013.791667,1.560000,0.970833
2013-11-01,2013,11,2013.875000,3.880000,0.954167
2013-12-01,2013,12,2013.958333,6.200000,0.952500
2014-01-01,2014,1,2014.041667,7.850000,0.980000
2014-02-01,2014,2,2014.125000,8.450000,0.964583
2014-03-01,2014,3,2014.208333,7.050000,0.894583
2014-04-01,2014,4,2014.291667,2.400000,0.886667
2014-05-01,2014,5,2014.375000,-4.300000,0.863958
2014-06-01,2014,6,2014.458333,-9.570000,0.849583
2014-07-01,2014,7,2014.541667,-9.380000,0.874792
2014-08-01,2014,8,2014.625000,-4.210000,0.875000
2014-09-01,2014,9,2014.708333,-0.180000,0.872708
2014-10-01,2014,10,2014.791667,2.230000,0.881458
2014-11-01,2014,11,2014.875000,4.100000,0.869375
2014-12-01,2014,12,2014.958333,5.850000,0.874583
2015-01-01,2015,1,2015.041667,7.410000,0.870625
2015-02-01,2015,2,2015.125000,9.210000,0.922708
2015-03-01,2015,3,2015.208333,7.100000,0.948333
2015-04-01,2015,4,2015.291667,2.320000,0.946458
2015-05-01,2015,5,2015.375000,-4.300000,0.959583
2015-06-01,2015,6,2015.458333,-8.900000,0.951042
2015-07-01,2015,7,2015.541667,-8.050000,0.975208
2015-08-01,2015,8,2015.625000,-4.210000,0.980625
2015-09-01,2015,9,2015.708333,0.210000,0.977917
2015-10-01,2015,10,2015.791667,2.290000,0.972708
2015-11-01,2015,11,2015.875000,3.900000,0.968542
2015-12-01,2015,12,2015.958333,6.120000,0.971250
2016-01-01,2016,1,2016.041667,8.000000,0.960833
2016-02-01,2016,2,2016.125000,7.310000,0.981667
2016-03-01,2016,3,2016.208333,6.320000,0.996458
2016-04-01,2016,4,2016.291667,1.480000,0.989375
2016-05-01,2016,5,2016.375000,-4.890000,1.001667
2016-06-01,2016,6,2016.458333,-7.530000,0.999375
2016-07-01,2016,7,2016.541667,-8.190000,0.999792
